Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
1,179901,600104866,"179901-VALVE,SHUTOFF",New parts,1,179901,,1,Parts,,,,,,,New parts,
2,00.00.0817,600104038,00.00.0817 - LEAD ASSEMBLY 14FT,Local,,00.00.0817,CIVIL DEFENSE,1,Parts,,,,,,,Local,
3,00.00.3488,600104037,00.00.3488 - THERMOCOUPLE UNGROUNDED ADAPTOR,Local,,00.00.3488,CIVIL DEFENSE,1,Parts,,,,,,,Local,
4,0003CDV,600032681,0003 CDV- Ac quy 12V 150Ah,Local,,0003CDV,,1,Parts,,,,,,,Local,
5,0004CDV,600032683,0004 CDV- Valvoline 15W40 CF4,Local,,0004CDV,,1,Parts,,,,,,,Local,
6,0101-0861,600066396,101-0861-JOINT REAR END HSG - CYL(AX1004,New parts,1,0101-0861,,1,Parts,,,,,,,New parts,
7,0101-0862,600066399,101-0862- GASKET-CRANKCASE,New parts,1,0101-0862,,1,Parts,,,,,,,New parts,
8,0102-1543,600081361,0102-1543 - GASKET-OIL BASE,New parts,1,0102-1543,,1,Parts,,,,,,,New parts,
9,0102-1590,600052785,102-1590-GASKET OIL BASE,New parts,1,0102-1590,,1,Parts,,,,,,,New parts,
10,0102-1591,600045490,102-1591-GASKET OIL BASE,New parts,,0102-1591,,1,Parts,,,,,,,New parts,
11,0103-0873,600053210,103-0873- GASKET GEARCASE,New parts,1,0103-0873,,1,Parts,,,,,,,New parts,
12,0104-2116,600030713,104-2116- OIL SEAL REAR END CRNK,New parts,1,0104-2116,,1,Parts,,,,,,,New parts,
13,0104-2117,600082697,0104-2117-FLYWHEEL HOUSING (AX1004953),New parts,1,0104-2117,,1,Parts,,,,,,,New parts,
14,0104-2191,600052782,104-2191- BEARING CRANSHAFT,New parts,,0104-2191,,1,Parts,,,,,,,New parts,
15,0110-3995,600030714,"110-3995- GASKET, CYLINDER HEAD",New parts,1,0110-3995,,1,Parts,,,,,,,New parts,
16,0110-3998,600093999,"0110-3998 - GASKET, CYLINDER HEAD",New parts,1,0110-3998,,1,Parts,,,,,,,New parts,
