Customer Abbreviation,Customer Po,Customer Po Line,Date Entered,Order No,Due Date Code,Part No,Description, Revised Due Date ,ESD,Qty Open,Unit Price,Total Value Open,Qty Resvered,Qty Picked,Qty Backordered
178267,180855-SS-Q1-DTH1,1,"Tuesday, February 14, 2023",655421,TS,AF2527800,AIR FILTER-PRIMARY,45002,45009,6,69.79,418.74,6,6,0
178267,181531-Q1-MINNINGD-TDM,1,"Monday, February 13, 2023",655188,TS,LF0901800,OIL FILTER COMBO SPINON,45001,45008,1998,21.22,42397.56,1998,1998,0
178267,181531-Q1-MINNINGD-TDM,10,"Monday, February 13, 2023",655188,TS,HF0755300,HYDRAULIC SPIN-ON CELLULOSE,45001,45008,12,28.41,340.92,12,12,0
178267,181531-Q1-MINNINGD-TDM,11,"Monday, February 13, 2023",655188,TS,AF0480100,AIR FILTER-PRIMARY,45001,45008,10,43.91,439.1,10,10,0
178267,181531-Q1-MINNINGD-TDM,12,"Monday, February 13, 2023",655188,TS,AF0481900,AIR FILTER-SECONDARY,45001,45008,10,32.08,320.8,10,10,0
178267,181531-Q1-MINNINGD-TDM,13,"Monday, February 13, 2023",655188,TS,HF3551600MX,HYDRAULIC SPIN-ON CELLULOSE,45001,45008,12,42.54,510.48,12,12,0
178267,181531-Q1-MINNINGD-TDM,2,"Monday, February 13, 2023",655188,TS,FS0100600,FUEL SEPARATOR SPINON,45001,45008,96,19.65,1886.4,96,96,0
178267,181531-Q1-MINNINGD-TDM,3,"Monday, February 13, 2023",655188,TS,HF3525500,HYDRAULIC CARTRIDGE CELLULOSE,45001,45008,48,6.04,289.92,48,48,0
178267,181531-Q1-MINNINGD-TDM,4,"Monday, February 13, 2023",655188,TS,LF0074700,OIL FILTER CELLULOSE SPINON,45001,45008,48,9.11,437.28,0,0,48
178267,181531-Q1-MINNINGD-TDM,5,"Monday, February 13, 2023",655188,TS,HF2881300,HYDRAULIC CARTRIDGE SYNTHETIC,45001,45008,30,20.82,624.6,30,30,0
178267,181531-Q1-MINNINGD-TDM,6,"Monday, February 13, 2023",655188,TS,HF2893800,HYDRAULIC SPIN-ON CELLULOSE,45001,45008,12,23.13,277.56,12,12,0
178267,181531-Q1-MINNINGD-TDM,7,"Monday, February 13, 2023",655188,TS,AF0192100 M,AIR FILTER-PRIMARY,45001,45008,12,49.26,591.12,12,12,0
178267,181531-Q1-MINNINGD-TDM,8,"Monday, February 13, 2023",655188,TS,HF0793500,HYDRAULIC SPIN-ON CELLULOSE,45001,45008,6,28.66,171.96,6,6,0
178267,181531-Q1-MINNINGD-TDM,9,"Monday, February 13, 2023",655188,TS,AF0192200 M,AIR FILTER-PRIMARY,45001,45008,12,29.37,352.44,12,12,0
178267,181538-Q2-MINNINGD-TDM,1,"Monday, February 13, 2023",655194,SX,LF0901800,OIL FILTER COMBO SPINON,45061,45068,996,21.22,21135.12,0,0,0
178267,181538-Q2-MINNINGD-TDM,10,"Monday, February 13, 2023",655194,SX,AF0192100 M,AIR FILTER-PRIMARY,45061,45068,6,49.26,295.56,0,0,0
178267,181538-Q2-MINNINGD-TDM,11,"Monday, February 13, 2023",655194,SX,HF0793500,HYDRAULIC SPIN-ON CELLULOSE,45061,45068,12,28.66,343.92,0,0,0
178267,181538-Q2-MINNINGD-TDM,12,"Monday, February 13, 2023",655194,SX,AF0192200 M,AIR FILTER-PRIMARY,45061,45068,12,29.37,352.44,0,0,0
178267,181538-Q2-MINNINGD-TDM,13,"Monday, February 13, 2023",655194,SX,HF0755300,HYDRAULIC SPIN-ON CELLULOSE,45061,45068,6,28.41,170.46,0,0,0
178267,181538-Q2-MINNINGD-TDM,2,"Monday, February 13, 2023",655194,SX,FS0100600,FUEL SEPARATOR SPINON,45061,,300,19.65,5895,0,0,0
178267,181538-Q2-MINNINGD-TDM,3,"Monday, February 13, 2023",655194,SX,HF3525500,HYDRAULIC CARTRIDGE CELLULOSE,45061,45068,78,6.04,471.12,0,0,0
178267,181538-Q2-MINNINGD-TDM,4,"Monday, February 13, 2023",655194,SX,LF0074700,OIL FILTER CELLULOSE SPINON,45061,45068,78,9.11,710.58,0,0,0
178267,181538-Q2-MINNINGD-TDM,5,"Monday, February 13, 2023",655194,SX,HF0631900,HYDRAULIC CARTRIDGE CELLULOSE,45061,45068,50,17.98,899,0,0,0
178267,181538-Q2-MINNINGD-TDM,6,"Monday, February 13, 2023",655194,SX,HF2881300,HYDRAULIC CARTRIDGE SYNTHETIC,45061,45068,60,20.82,1249.2,0,0,0
178267,181538-Q2-MINNINGD-TDM,7,"Monday, February 13, 2023",655194,SX,AF2562700,DIRECT MOUNT AIR SYSTEM,45061,45068,12,38.41,460.92,0,0,0
178267,181538-Q2-MINNINGD-TDM,8,"Monday, February 13, 2023",655194,SX,HF2891000,HYDRAULIC CARTRIDGE CELLULOSE,45061,45068,30,49.15,1474.5,0,0,0
178267,181538-Q2-MINNINGD-TDM,9,"Monday, February 13, 2023",655194,SX,HF2893800,HYDRAULIC SPIN-ON CELLULOSE,45061,45068,20,23.13,462.6,0,0,0
178267,181874-Q1-MINNINGN-TDM,1,"Tuesday, February 14, 2023",655403,TS,FS0100000,FUEL SEPARATOR SPINON STRATAPORE,45002,45009,36,9.41,338.76,36,36,0
178267,181874-Q1-MINNINGN-TDM,2,"Tuesday, February 14, 2023",655403,TS,LF0300000,OIL FILTER COMBO SPINON,45002,45009,36,14.84,534.24,36,36,0
178267,181874-Q1-MINNINGN-TDM,3,"Tuesday, February 14, 2023",655403,TS,HF2889400,HYDRAULIC SERVICE PART,45002,45009,12,58.03,696.36,0,0,12
178267,181874-Q1-MINNINGN-TDM,4,"Tuesday, February 14, 2023",655403,TS,LF0066700,OIL FILTER CELLULOSE SPINON,45002,45009,6,5.62,33.72,6,6,0
178267,181874-Q1-MINNINGN-TDM,5,"Tuesday, February 14, 2023",655403,TS,FS5301400MX,FUEL FILTER STACKED ELEMAX,45002,,12,124.94,1499.28,0,0,0
178267,181874-Q1-MINNINGN-TDM,6,"Tuesday, February 14, 2023",655403,TS,HF0637600,HYDRAULIC CARTRIDGE CELLULOSE,45002,45009,6,15.04,90.24,6,6,0
178267,181876-Q2-MINNINGN-TDM,1,"Tuesday, February 14, 2023",655404,TS,LF0905000,OIL FILTER COMBO SPINON,45002,45009,6,48.87,293.22,6,6,0
178267,181876-Q2-MINNINGN-TDM,10,"Tuesday, February 14, 2023",655404,TS,FS5301400MX,FUEL FILTER STACKED ELEMAX,45002,,6,124.94,749.64,0,0,0
178267,181876-Q2-MINNINGN-TDM,11,"Tuesday, February 14, 2023",655404,TS,HF0637600,HYDRAULIC CARTRIDGE CELLULOSE,45002,45009,6,15.04,90.24,6,6,0
178267,181876-Q2-MINNINGN-TDM,12,"Tuesday, February 14, 2023",655404,TS,HF0609700,HYDRAULIC CARTRIDGE CELLULOSE,45002,45009,6,8.16,48.96,6,6,0
178267,181876-Q2-MINNINGN-TDM,13,"Tuesday, February 14, 2023",655404,TS,FS1960500,FUEL SEPARATOR GLASS BOX FILTER,45002,45009,6,8.55,51.3,6,6,0
178267,181876-Q2-MINNINGN-TDM,2,"Tuesday, February 14, 2023",655404,TS,FS0100000,FUEL SEPARATOR SPINON STRATAPORE,45002,45009,36,9.41,338.76,36,36,0
178267,181876-Q2-MINNINGN-TDM,3,"Tuesday, February 14, 2023",655404,TS,LF1400000MX NN,OIL FILTER COMBO SPINON,45002,,6,32.06,192.36,0,0,0
178267,181876-Q2-MINNINGN-TDM,4,"Tuesday, February 14, 2023",655404,TS,LF0300000,OIL FILTER COMBO SPINON,45002,45009,36,14.84,534.24,36,36,0
178267,181876-Q2-MINNINGN-TDM,5,"Tuesday, February 14, 2023",655404,TS,AF2570800 M,AIR FILTER-RADIAL SEAL PRIMARY,45002,,6,62.83,376.98,0,0,0
178267,181876-Q2-MINNINGN-TDM,6,"Tuesday, February 14, 2023",655404,TS,HF2889400,HYDRAULIC SERVICE PART,45002,45019,20,58.03,1160.6,0,0,20
178267,181876-Q2-MINNINGN-TDM,7,"Tuesday, February 14, 2023",655404,TS,LF0334900,OIL FILTER CELLULOSE SPINON,45002,45009,12,3.46,41.52,12,12,0
178267,181876-Q2-MINNINGN-TDM,8,"Tuesday, February 14, 2023",655404,TS,LF0395900,OIL FILTER CELLULOSE SPINON,45002,45009,12,5.43,65.16,0,0,12
178267,181876-Q2-MINNINGN-TDM,9,"Tuesday, February 14, 2023",655404,TS,AF0092800 M,AIR FILTER-PRIMARY,45002,45009,6,38.85,233.1,6,6,0
557,151561-REPLACING-PTP,1,"Thursday, February 2, 2023",653989,MO,307676700,CAMSHAFT,44970,44977,5,1092.78,5463.9,5,5,0
