Customer,Material,Material Description,Batch,Unrestricted,Base Unit of Measure,Plant,In Quality Insp.,Restricted-Use Stock,In Transfer (Plant)
121020293,600002438,AF25708M- Airfilter,1227591,1,PC,VN49,0,0,0
121020293,600002579,AF928M-Air filter,1265982,1,PC,VN49,0,0,0
121020293,600002735,FS1040-Fulwtrsep,1329515,1,PC,VN49,0,0,0
121020293,600002909,LF3000-Lube filter,1326983,1,PC,VN49,0,0,0
121020293,600003102,WF2126-Water Filter,1218247,1,PC,VN49,0,0,0
121020293,600031546,LF9070 (# LF9000) -LUBE FILTER,1239802,1,PC,VN49,0,0,0
121020293,600074824,CC2869-ES COMPLEAT PG REMIX- 20L,1294598,1,PC,VN49,0,0,0
121020293,600085241,880966-Blue7600 15W40API CH-4 18L PL,1309508,4,PC,VN49,0,0,0
121055092,600002627,DCA65L-Coolant Water,1260496,8,PC,VN49,0,0,0
121055092,600002649,FF2203-Fuel filter,1393267,1,PC,VN49,0,0,0
121055092,600002731,FS1006-Fulwtrsep,1355472,1,PC,VN49,0,0,0
121055092,600003098,WF2075-Water filter,1177405,2,PC,VN49,0,0,0
121055092,600081260,LF14000NN-OIL FILTER COMBO SPINON,1380854,1,PC,VN49,0,0,0
121055092,600081260,LF14000NN-OIL FILTER COMBO SPINON,1393268,3,PC,VN49,0,0,0
121055092,600085241,880966-Blue7600 15W40API CH-4 18L PL,1365068,8,PC,VN49,0,0,0
121076047,600074824,CC2869-ES COMPLEAT PG REMIX- 20L,1294598,1,PC,VNT0,0,0,0
121076047,600074824,CC2869-ES COMPLEAT PG REMIX- 20L,1332244,11,PC,VNT0,0,0,0
121076047,600110897,"A048S441-CORE,RADIATOR",1387088,1,PC,VNT0,0,0,0
121076047,600110898,"A048S439-GASKET,RADIATOR",1387089,16,PC,VNT0,0,0,0
121076047,600111329,2103699A-TANK - RADIATOR,1393392,1,PC,VNT0,0,0,0
121076047,600111390,3302089-GUARD CORE PUNCHED,1393393,2,PC,VNT0,0,0,0
121078330,600085241,880966-Blue7600 15W40API CH-4 18L PL,1219478,2,PC,VNT0,0,0,0
121090889,600002384,AF25129M-Airfilter element,1326799,6,PC,VN49,0,0,0
121090889,600002384,AF25129M-Airfilter element,1326799,6,PC,VNT0,0,0,0
121090889,600002385,AF25130M-Air filter,1253598,6,PC,VN49,0,0,0
