Plant,Document Date,Storage Location,Purchasing Document,Item,Vendor/supplying plant,Material,Short Text,Deletion indicator,Order Quantity,Order Price Unit,Net price,Net Order Value,Still to be delivered (qty),Still to be invoiced (qty),Purchasing Group,Shipment Date,Still to be delivered (value),Still to be invoiced (val.)
VN49,1/4/2022,1100,7150149129,10,21500157,600074133,E000-23212/1P- BOARD AVR MX321,,1,PC,267.11,267.11,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149134,10,21500157,600090684,"4327236-SENSOR,ENGINE POSITION",,2,PC,62.43,124.86,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,10,21500157,600103749,FS53023-FUEL WATER SEPARATOR,,4,PC,107.83,431.32,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,20,21500157,600103780,FF63016-FUELFILTER,,4,PC,128.20,512.80,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,30,21500157,600081279,"2894868 - SENSOR,PRESSURE",,1,PC,213.84,213.84,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,40,21500157,600079931,"2897334 - SENSOR, PRS TEMPERATURE (SS# 2",,2,PC,39.36,78.72,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,50,21500157,600081158,"4954245-SENSOR,PRESSURE",,2,PC,79.34,158.68,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,60,21500157,600090689,"4954405-SENSOR,PRESSURE",,2,PC,409.26,818.52,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,70,21500157,600077456,"4954491-SENSR, TEMPERATURE",,2,PC,296.66,593.32,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,90,21500157,600079930,"2897331 - SENSOR,PRESSURE (SS# 4076493)",,2,PC,11.91,23.82,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,100,21500157,600021033,300-6315-02 DISPLAY-CONTROL,,2,PC,951.26,"1,902.52",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,110,21500157,600007429,327-1536 - PCB ASSY,,2,PC,551.78,"1,103.56",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,120,21500157,600020070,327-1593- PCB ASSY ( PCC3300AVR),,2,PC,657.52,"1,315.04",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,130,21500157,600098152,0327-1601-01 -PCB ASSY (CNTRL,,2,PC,"2,106.34","4,212.68",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,140,21500157,600072796,45-1082-HC/P7/P8 PMG REPAIR KIT,,2,PC,441.30,882.60,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,150,21500157,600110039,"5317106 - MODULE,ELECTRONIC CONTROL",,2,PC,"1,950.00","3,900.00",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,160,21500157,600110100,"2872371 - SENSOR,PRESSURE",,2,PC,101.28,202.56,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,170,21500157,600110101,"2872883 - SENSOR,PRESSURE",,2,PC,104.61,209.22,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,180,21500157,600110102,"2897324 - SWITCH,PRESSURE",,2,PC,10.42,20.84,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,190,21500157,600110103,"2897999 - ADAPTER,SENSOR",,2,PC,42.00,84.00,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,200,21500157,600110104,"5491808 - SENSOR,POSITION",,2,PC,98.72,197.44,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,210,21500157,600110105,A029P569 - CARD-CONTROL,,2,PC,565.13,"1,130.26",0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,220,21500157,600072797,810-1015-HV/MV8 RECTIFIER ASSY,,2,PC,261.30,522.60,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,230,21500157,600110106,A047S467 - FUSE,,2,PC,86.63,173.26,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,240,21500157,600110107,0321-0372-03 - FUSE (CARTRIDGE TYPE),,5,PC,16.04,80.20,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,250,21500157,600110108,0321-0372-05 - FUSE (CARTRIDGE TYPE),,5,PC,25.00,125.00,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,260,21500157,600110109,0321-0372-07 - FUSE (CARTRIDGE TYPE),,5,PC,20.49,102.45,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,270,21500157,600110110,0307-2861-06 - RELAY-CONTROL,,2,PC,108.49,216.98,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,280,21500157,600110111,"A056M366 - RELAY,POWER",,2,PC,26.73,53.46,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,290,21500157,600110112,A047S480 - INVERTER,,2,PC,367.13,734.26,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,300,21500157,600110113,A047S482 - INVERTER,,2,PC,311.27,622.54,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,310,21500157,600110114,"A047S435 - BREAKER,CIRCUIT",,2,PC,47.36,94.72,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,320,21500157,600110115,"A047S439 - BREAKER,CIRCUIT",,2,PC,21.49,42.98,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,330,21500157,600110116,"A049T953 - BREAKER,CIRCUIT",,2,PC,81.46,162.92,0,0,V43,,0.00,0.00
VN49,1/4/2022,1100,7150149137,340,21500157,600110117,"A050Y697 - BREAKER,CIRCUIT",,1,PC,100.01,100.01,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149321,10,21500157,600094324,"5473302 - KIT,WATER PUMP",,1,PC,120.59,120.59,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149322,10,21500157,600001188,"3408326-Act, Gov",,1,PC,809.56,809.56,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149344,10,21500157,600031886,319-5010-DOOR ASSY,,1,PC,204.33,204.33,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149344,20,21500157,600081283,"4309175 - KIT,ELEC CONTROL MODULE",,1,PC,"1,675.00","1,675.00",0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149350,10,21500157,600000528,300-4080-02-PCB Assy,,1,PC,774.55,774.55,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149373,10,21500157,600083835,"A048L463-SENSOR, MAGNETIC PICKUP",,1,PC,22.75,22.75,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149375,10,21500157,600003632,333-0588-04-Heater Coolant,,2,PC,131.99,263.98,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149375,20,21500157,600052707,3283456-HOSE PLAIN,,4,PC,11.34,45.36,0,0,V43,,0.00,0.00
VN49,1/6/2022,1100,7150149375,30,21500157,600110118,"70458 A - HOSE,PLAIN",,4,PC,12.11,48.44,0,0,V43,,0.00,0.00
VN49,1/10/2022,1100,7150149652,10,21500157,600018164,"129768 - SPRING , VALVE",,1,PC,6.00,6.00,0,0,V43,,0.00,0.00
VN49,1/10/2022,1100,7150149652,20,21500157,600079245,"3030970 - Disc, Valve",,1,PC,16.95,16.95,0,0,V43,,0.00,0.00
VN49,1/11/2022,1100,7150149837,10,21500157,600093190,5367762 - Motor Starting,,1,PC,373.17,373.17,0,0,V43,,0.00,0.00
VN49,1/12/2022,1100,7150149998,10,21500157,600053590,5282841-ALTERNATOR,,1,PC,290.82,290.82,0,0,V43,,0.00,0.00
VN49,1/12/2022,1100,7150149998,20,21500157,600110119,"A063L185 - CHARGER, BATTERY",,1,PC,220.00,220.00,0,0,V43,,0.00,0.00
VN49,1/13/2022,1100,7150150159,10,21500157,600085916,"4371786-KIT,PTS DST CENTER",,7,SET,10.72,75.04,0,0,V43,,0.00,0.00
VN49,1/14/2022,1100,7150150205,10,21500157,600083835,"A048L463-SENSOR, MAGNETIC PICKUP",,2,PC,22.75,45.50,0,0,V43,,0.00,0.00
VN49,1/17/2022,1100,7150150326,10,21500157,600082606,Carton,,22,PC,0.00,0.00,0,0,V43,,0.00,0.00
VN49,1/17/2022,1100,7150150403,10,21500157,600017494,300-4309-02 - PCB-ASSY-PTOOED BUS PT,,1,PC,437.56,437.56,0,0,V43,,0.00,0.00
VN49,1/17/2022,1100,7150150403,20,21500157,600000534,300-4306-Regulator-auto volt,,1,PC,393.56,393.56,0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150507,10,21500157,600001555,"3803528-Valve, exhaust",,24,PC,123.43,"2,962.32",0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150507,20,21500157,600000920,3076125-Barrel & plunger,,12,PC,201.38,"2,416.56",0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150507,30,21500157,600001533,"3803153-Kit, wp repair",L,2,PC,118.46,236.92,0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150528,10,21500157,600000761,3044196-EFC Board,,1,PC,600.62,600.62,0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150588,10,21500157,600007528,"3897386 - KIT , WATER PUMP REPAIR",,1,PC,312.30,312.30,0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150592,10,21500157,600000952,3081489-Gio#ng,,12,PC,5.59,67.08,0,0,V43,,0.00,0.00
VN49,1/18/2022,1100,7150150592,20,21500157,600000601,3011076-Gioang,,12,PC,5.46,65.52,0,0,V43,,0.00,0.00
