Lot,No,Date,From plant,To plant,Status,STO,SAP,Part code,Qty,weight/pce,Est weight,L,W,H
1,1,44518,VN49,VN49,Recorded on SAP,8150281855,600001853,3917123,1,0.128,0.128,7,6,6
1,2,44518,VN49,VN49,Recorded on SAP,8150281855,600109508,4093825,1,0.5,0.5,20,12,10
1,3,44518,VN49,VN49,Recorded on SAP,8150281855,600001993,3939258,2,0.05,0.1,7,7,1
1,4,44518,VN49,VN49,Recorded on SAP,8150281855,600109507,A053R080,1,70,70,72,46,51
2,1,44518,VNT0,VNT0,Recorded on SAP,8150281905,600003033,LF3970,10,0.594,5.94,9.5,9.5,17
3,1,44530,VNT0,VNT0,Recorded on SAP,,600003951,3087587,6,1.2,7.2,23,9,6
3,2,44530,VNT0,VNT0,Recorded on SAP,,600002064,4000504,6,0.005,0.03,19,22,6
3,3,44530,VNT0,VNT0,Recorded on SAP,,600001373,3634664,2,0.3,0.6,1,22,35
3,4,44530,VNT0,VNT0,Recorded on SAP,,600010662,3086192,12,0.052,0.624,10,10,1
3,5,44530,VNT0,VNT0,Recorded on SAP,,600014822,3086193,12,0.068,0.816,15,10,1
3,6,44530,VNT0,VNT0,Recorded on SAP,,600000760,3043909,6,0.333,1.68,12,7,7
3,7,44530,VNT0,VNT0,Recorded on SAP,,600104346,5373849,6,0.2,1.2,37,25,1
3,8,44530,VNT0,VNT0,Recorded on SAP,,600000601,3011076,12,0.013,0.156,18,18,1
3,9,44530,VNT0,VNT0,Recorded on SAP,,600000616,3014668,12,0.01,0.12,10,10,1
3,10,44530,VNT0,VNT0,Recorded on SAP,,600000952,3081489,6,0.04,0.24,21,28,1
4,1,44531,VNT0,VNT0,Recorded on SAP,,600003881,4025322,11,0.37,4.07,12,6,9
4,2,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,1,23,23,37,37,39
4,3,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,1,23,23,37,37,39
4,4,44531,VNT0,VNT0,Recorded on SAP,,600000458,212161,1000,0.01,1,4,4,1
4,5,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,2,23,46,37,37,39
4,6,44531,VNT0,VNT0,Recorded on SAP,,600002194,4893693,54,0.03,#N/A,#N/A,#N/A,#N/A
4,7,44531,VNT0,VNT0,Recorded on SAP,,600003951,3087587,10,1.2,12,23,9,6
4,8,44531,VNT0,VNT0,Recorded on SAP,,600000434,205898,140,0.032,4.48,1,1,1.3
4,9,44531,VNT0,VNT0,Recorded on SAP,,600000299,135675,10,0.5,5,12,7,7
4,10,44531,VNT0,VNT0,Recorded on SAP,,600000935,3077198,12,0.065,1.2,62,23,1
4,11,44531,VNT0,VNT0,Recorded on SAP,,600002220,68241,3,0.135,0.405,8,2,2
4,12,44531,VNT0,VNT0,Recorded on SAP,,600015388,4983584,3,0.476,1.428,16.5,11.1,9.8
4,13,44531,VNT0,VNT0,Recorded on SAP,,600002166,4089649,5,1.5,7.5,80,33,5
4,14,44531,VNT0,VNT0,Recorded on SAP,,600030227,4942278,25,0.1,2.5,2,2,2
4,15,44531,VNT0,VNT0,Recorded on SAP,,600017590,3969562,282,0.05,#N/A,#N/A,#N/A,#N/A
4,16,44531,VNT0,VNT0,Recorded on SAP,,600109021,4068673RX,4,21.33,85.32,34,21,25
4,17,44531,VNT0,VNT0,Recorded on SAP,,600045503,2882146,1,0.463,0.463,15,14,8
4,18,44531,VNT0,VNT0,Recorded on SAP,,600081265,5291050,1,2.176,2.176,15.5,12.3,10.5
4,19,44531,VNT0,VNT0,Recorded on SAP,,600003871,3094716,14,0.14,1.96,12,8,4
4,20,44531,VNT0,VNT0,Recorded on SAP,,600075950,3866885,1,0.113,0.113,15,4,15
4,21,44531,VNT0,VNT0,Recorded on SAP,,600107667,3050419RX,1,43.227,43.227,58,44,33
4,22,44531,VNT0,VNT0,Recorded on SAP,,#N/A,193-0244-99,12,,#N/A,#N/A,#N/A,#N/A
4,23,44531,VNT0,VNT0,Recorded on SAP,,600018392,4955230,1,3,3,100,39,5
4,24,44531,VNT0,VNT0,Recorded on SAP,,600028628,4955352,4,1.1,4.4,35.1,21.3,11.1
4,25,44531,VNT0,VNT0,Recorded on SAP,,600002192,4891178,8,0.065,0.52,7,7,9
4,26,44531,VNT0,VNT0,Recorded on SAP,,600015388,4983584,3,0.476,1.428,16.5,11.1,9.8
4,27,44531,VNT0,VNT0,Recorded on SAP,,600053590,5282841,1,10,10,32,32,25
4,28,44531,VNT0,VNT0,Recorded on SAP,,600075247,4327017,2,0.01,0.02,3,2,2
4,29,44531,VNT0,VNT0,Recorded on SAP,,600001268,3519627,2,0.06,0.12,10,15,1
4,30,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,3,23,69,37,37,39
4,31,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,1,23,23,37,37,39
4,32,44531,VNT0,VNT0,Recorded on SAP,,600001443,3801697,2,23,46,37,37,39
4,33,44531,VNT0,VNT0,Recorded on SAP,,600067616,4090028,21,0.11,2.31,18.2,17.4,6.3
4,34,44531,VNT0,VNT0,Recorded on SAP,,600032966,5257595,4,0.272,1.088,12,11,9
4,35,44531,VNT0,VNT0,Recorded on SAP,,600068576,2882145,1,7.71,7.71,33,27,28
4,36,44531,VNT0,VNT0,Recorded on SAP,,600093796,5473238,5,2.63,13.15,19,16,17
4,37,44531,VNT0,VNT0,Recorded on SAP,,#N/A,302-2057-34,1,,#N/A,#N/A,#N/A,#N/A
4,38,44531,VNT0,VNT0,Recorded on SAP,,600000793,3050692,3,1,3,13,12,13
4,39,44531,VNT0,VNT0,Recorded on SAP,,600000793,3050692,36,1,36,13,12,13
4,40,44531,VNT0,VNT0,Recorded on SAP,,600000793,3050692,9,1,9,13,12,13
4,41,44531,VNT0,VNT0,Recorded on SAP,,600020840,4920076,150,0.015,2.25,25,18,1
4,42,44531,VNT0,VNT0,Recorded on SAP,,600081265,5291050,2,2.176,4.352,15.5,12.3,10.5
4,43,44531,VNT0,VNT0,Recorded on SAP,,600018193,3942535,1,0.32,0.32,13,13,3
4,44,44531,VNT0,VNT0,Recorded on SAP,,600000579,3007525,15,12.493,187.395,24,24,41
4,45,44531,VNT0,VNT0,Recorded on SAP,,600000579,3007525,35,12.493,437.255,24,24,41
4,46,44531,VNT0,VNT0,Recorded on SAP,,600000579,3007525,16,12.493,199.888,24,24,41
4,47,44531,VNT0,VNT0,Recorded on SAP,,600002158,4089489,81,0.19,15.39,17,17,3
