Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600000293,129888-Seal,ZSP,VN49,1100,7063,,PC,1,VND,"71,857",0,0,0,0,0,0,0,0,0,0
600000299,135675-Thermostat,ZSP,VN49,1100,7063,,PC,15,VND,"5,371,179",0,0,0,0,0,0,0,0,0,0
600000299,135675-Thermostat,ZSP,VN49,1100,7063,,PC,1,VND,"358,079",0,0,0,0,0,0,0,0,0,0
600000299,135675-Thermostat,ZSP,VN49,1100,7063,,PC,49,VND,"17,545,850",0,0,0,0,0,0,0,0,0,0
600000299,135675-Thermostat,ZSP,VN49,1100,7063,,PC,150,VND,"53,711,787",0,0,0,0,0,0,0,0,0,0
600000311,146483-Screen filter,ZSP,VN49,1100,7063,,PC,2,VND,"655,593",0,0,0,0,0,0,0,0,0,0
600000311,146483-Screen filter,ZSP,VN49,1100,7063,,PC,2,VND,"655,593",0,0,0,0,0,0,0,0,0,0
600000325,"154087-Seal, rectangular rin",ZSP,VN49,1100,7063,,PC,1,VND,"31,269",0,0,0,0,0,0,0,0,0,0
600000380,"187160-Belt, V",ZSP,VNT0,1100,7063,,PC,3,VND,"1,161,888",0,0,0,0,0,0,0,0,0,0
600000386,"191970-Pin, piston",ZSP,VN49,1100,7063,,PC,14,VND,"11,625,226",0,0,0,0,0,0,0,0,0,0
600000393,193-0430-01 Sender Oil Pressure,ZSP,VN49,1100,7063,,PC,1,VND,"1,535,086",0,0,0,0,0,0,0,0,0,0
600000393,193-0430-01 Sender Oil Pressure,ZSP,VN49,1100,7063,,PC,1,VND,"1,535,086",0,0,0,0,0,0,0,0,0,0
600000403,193-0529-01 Sensor Temperature,ZSP,VN49,1100,7063,,PC,1,VND,"614,302",0,0,0,0,0,0,0,0,0,0
600000403,193-0529-01 Sensor Temperature,ZSP,VNT0,1100,7063,,PC,1,VND,"614,302",0,0,0,0,0,0,0,0,0,0
600000404,"193736-Seal, injector o ring",ZSP,VN49,1100,7063,,PC,54,VND,"2,690,203",0,0,0,0,0,0,0,0,0,0
600000404,"193736-Seal, injector o ring",ZSP,VN49,1100,7063,,PC,200,VND,"9,963,714",0,0,0,0,0,0,0,0,0,0
600000404,"193736-Seal, injector o ring",ZSP,VNT0,,7063,,PC,0,VND,0,18,"925,583",0,0,0,0,0,0,0,0
600000404,"193736-Seal, injector o ring",ZSP,VNT0,1100,7063,,PC,5,VND,"257,106",0,0,0,0,0,0,0,0,0,0
600000421,"205230-Bushing, Camshaft",ZSP,VN49,1100,7063,,PC,11,VND,"8,517,588",0,0,0,0,0,0,0,0,0,0
600000421,"205230-Bushing, Camshaft",ZSP,VN49,1100,7063,,PC,19,VND,"14,712,197",0,0,0,0,0,0,0,0,0,0
600000432,"205840-Bearing, con rod",ZSP,VN49,1100,7063,,PC,16,VND,"3,900,957",0,0,0,0,0,0,0,0,0,0
600000432,"205840-Bearing, con rod",ZSP,VN49,1100,7063,,PC,180,VND,"43,885,771",0,0,0,0,0,0,0,0,0,0
600000432,"205840-Bearing, con rod",ZSP,VNT0,1100,7063,,PC,12,VND,"6,684,258",0,0,0,0,0,0,0,0,0,0
600000434,205898-Seal O Ring,ZSP,VN49,1100,7063,,PC,9,VND,"2,046,644",0,0,0,0,0,0,0,0,0,0
600000434,205898-Seal O Ring,ZSP,VN49,1100,7063,,PC,9,VND,"2,046,644",0,0,0,0,0,0,0,0,0,0
600000434,205898-Seal O Ring,ZSP,VN49,1100,7063,,PC,140,VND,"31,836,692",0,0,0,0,0,0,0,0,0,0
600000434,205898-Seal O Ring,ZSP,VN49,1100,7063,,PC,36,VND,"8,186,578",0,0,0,0,0,0,0,0,0,0
600000447,206948-Seal Oil,ZSP,VN49,1100,7063,,PC,1,VND,"239,784",0,0,0,0,0,0,0,0,0,0
600000447,206948-Seal Oil,ZSP,VNT0,1100,7063,,PC,1,VND,"234,153",0,0,0,0,0,0,0,0,0,0
600000450,207226-Bushing,ZSP,VN49,1100,7063,,PC,30,VND,"2,483,297",0,0,0,0,0,0,0,0,0,0
600000450,207226-Bushing,ZSP,VN49,1100,7063,,PC,30,VND,"2,483,297",0,0,0,0,0,0,0,0,0,0
600000450,207226-Bushing,ZSP,VN49,1100,7063,,PC,60,VND,"4,966,593",0,0,0,0,0,0,0,0,0,0
600000451,"207244-Seal, injector",ZSP,VN49,1100,7063,,PC,12,VND,"1,168,322",0,0,0,0,0,0,0,0,0,0
600000451,"207244-Seal, injector",ZSP,VNT0,1100,7063,,PC,10,VND,"825,444",0,0,0,0,0,0,0,0,0,0
600000451,"207244-Seal, injector",ZSP,VNT0,1100,7063,,PC,6,VND,"495,267",0,0,0,0,0,0,0,0,0,0
600000452,207344-Bushing,ZSP,VN49,1100,7063,,PC,28,VND,"2,179,453",0,0,0,0,0,0,0,0,0,0
600000452,207344-Bushing,ZSP,VN49,1100,7063,,PC,30,VND,"2,335,128",0,0,0,0,0,0,0,0,0,0
600000452,207344-Bushing,ZSP,VN49,1100,7063,,PC,60,VND,"4,670,257",0,0,0,0,0,0,0,0,0,0
600000458,"212161-Seal, o ring",ZSP,VN49,1100,7063,,PC,78,VND,"3,273,347",0,0,0,0,0,0,0,0,0,0
600000458,"212161-Seal, o ring",ZSP,VN49,1100,7063,,PC,100,VND,"4,196,599",0,0,0,0,0,0,0,0,0,0
600000458,"212161-Seal, o ring",ZSP,VN49,1100,7063,,PC,300,VND,"12,589,797",0,0,0,0,0,0,0,0,0,0
600000458,"212161-Seal, o ring",ZSP,VNT0,1100,7063,,PC,44,VND,"1,691,574",0,0,0,0,0,0,0,0,0,0
