CDV,SO,Invoice no,Date,Description,PO,Mã hàng,COO,Origin,Số lượng,Unit Price,ED CHARGE,CORE PRICE,PRICE  IMPORT,NORMAL PRICE,SUPPORT IDN H1, IDN H2
CDS-HKT-01-22,,869337780,44656,280721P-BP98-Phase II,7150280721,3957851,,TW,4,57.53,5.753,FALSE,61.555,57.53,,
CDS-HKT-01-22,,869337780,44656,280721P-BP98-Phase II,7150280721,3866880,,TW,4,83.39,8.339,FALSE,89.23,83.39,,
CDS-HKT-01-22,,869337780,44656,280721P-BP98-Phase II,7150280721,0115-0567,,TH,4,22.9,2.29,FALSE,24.5,22.9,,
CDS-HKT-01-22,,869337779,44656,280721P-BP98-Phase II,7150280721,5260393,,US,8,1100.84,110.084,FALSE,1177.9,1100.84,,
CDS-HKT-01-22,,869337779,44656,280721P-BP98-Phase II,7150280721,.,,US,4,1480.87,148.087,,1584.53,,,
CDV-001-22,,8690000132,44564,131974-IOF-PTP,7150131974,3102654,,MX,2,,,0,115.23,104.75,,
CDV-002-22,,8690000500,44566,148768-WA-DTHG,7150148768,0300-4721-04,NO,US,1,,,0,,90.46,,
CDV-003-22,,8690000737,44567,148611-ED-LTN,7150148611,0300-4083,NO,US,1,755.77,75.577,0,831.347,755.77,,
CDV-004-22,,8690000223,44565,118238-SCHORD-SSA FISHING,7150118238,3005963,,US,42,32.26,0,0,32.26,32.26,23.43964679,
CDV-004-22,,8690000223,44565,124914-SCHORD-SSA-PTP-Q1,7150124914,3005963,,US,240,32.26,0,0,32.26,32.26,23.43964679,
CDV-004-22,,8690000223,44565,147873-IF-HVM,7150147873,5292708,,US,1,19.4,0,0,19.4,19.4,,
CDV-004-22,,8690000223,44565,147906-IF-DTH,7150147906,3975076,,IN,1,40.22,0,0,40.22,40.22,,
CDV-004-22,,8690000223,44565,147906-IF-DTH,7150147906,5309255,,HU,1,22.38,0,0,22.38,22.38,,
CDV-004-22,,8690000223,44565,147907-IF-LTN,7150147907,3969822,,GB,1,9.89,0,0,9.89,9.89,,
CDV-004-22,,8690000223,44565,147907-IF-LTN,7150147907,3966128,,MX,1,23.83,0,0,23.83,23.83,,
CDV-004-22,,8690000223,44565,147907-IF-LTN,7150147907,5260634,,CN,1,250.39,0,0,250.39,250.39,,
CDV-004-22,,8690000223,44565,148018- IF - DTH,7150148018,3649550,,US,1,141.34,0,0,141.34,141.34,,
CDV-004-22,,8690000223,44565,148018- IF - DTH,7150148018,4101378,,GB,1,139.27,0,0,139.27,139.27,,
CDV-004-22,,8690000223,44565,148018- IF - DTH,7150148018,3089056,,US,1,60.65,0,0,60.65,60.65,,
CDV-004-22,,8690000223,44565,148018- IF - DTH,7150148018,3643960,,DE,1,56.54,0,0,56.54,56.54,,
CDV-004-22,,8690000224,44565,140629-BP98-PhaseIII2,7150140629,4955375,,US,2,1775,0,0,1775,1775,,
CDV-004-22,,8690000225,44565,139453-BP98-PhaseIII1,7150139453,4956090,,US,1,626.01,0,0,626.01,626.01,,
CDV-004-22,,8690000226,44565,140629-BP98-PhaseIII2,7150140629,4352578,,US,1,269.22,0,0,269.22,269.22,240,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,2864016,,US,1,2016.77,0,0,2016.77,2016.77,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3967458,,IN,1,1332.7,0,0,1332.7,1332.7,,
CDV-004-22,,8690000228,44565,140281-IFEX-HVHV,7150140281,4068673,,MX,3,1777,0,0,1777,2336.25,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3803703,,US,6,172.21,0,0,172.21,73.51,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4383933,,GB,2,126.77,0,0,126.77,126.77,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,0151-0411,,IN,1,320.96,0,0,320.96,320.96,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,RSK-6001,,GB,1,170.72,0,0,170.72,170.72,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3803977,,CN,12,54.61,0,0,54.61,54.61,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,0300-4083,,MY,1,755.77,0,0,755.77,755.77,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,0300-4970,,CN,1,1699.11,0,0,1699.11,1699.11,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4376323,,US,2,850.97,0,0,850.97,850.97,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4065615,,GB,4,3.75,0,0,3.75,3.75,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4326781,,US,2,1289.5,0,0,1289.5,1289.5,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4307244 BH30,,US,1,4320.07,0,0,4320.07,4320.07,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4359572,,CN,1,56.8,0,0,56.8,56.8,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3629205,,US,1,74.97,0,0,74.97,74.97,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,5472920,,JP,2,1111.63,0,0,1111.63,1111.63,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,2878168,,MX,7,15.56,0,0,15.56,15.56,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3016760,,BR,12,19.21,0,0,19.21,19.21,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4025120,,BR,1,168.62,0,0,168.62,168.62,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4318947,,US,1,40.08,0,0,40.08,40.08,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,2897691,,IN,2,53.35,0,0,53.35,53.35,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3090704,,US,24,13.12,0,0,13.12,13.12,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4089478,,US,1,202.03,0,0,202.03,202.03,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4955352,,SK,24,67.23,0,0,67.23,67.23,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4376353,,US,6,120.92,0,0,120.92,120.92,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,4955251,,US,6,43.18,0,0,43.18,43.18,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3802967,,US,6,9.4,0,0,9.4,9.4,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3943450,,US,12,8.08,0,0,8.08,8.08,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3802924,,US,12,10.87,0,0,10.87,10.87,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3943449,,US,12,8.1,0,0,8.1,8.1,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3940123,,DE,24,1.13,0,0,1.13,1.13,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3802355,,US,6,13.21,0,0,13.21,13.21,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3904105,,DE,6,6.3,0,0,6.3,6.3,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3957912,,US,12,3.81,0,0,3.81,3.81,,
CDV-004-22,,8690000228,44565,143254-SS-Q12022,7150143254,3904166,,CN,6,25.57,0,0,25.57,25.57,,
