Sales document,Sold-To Party,Material Description,Sales Document Type,Delivery Date,Document Date,Overall Status Item Description,Order Quantity (Item),Confirmed Quantity (Item),Material,Plant,Batch,Net Price
2300084089,121139165,300-6090-CONTROL ASSY,ZTEC,4/28/2023,2/13/2023,Open,1,0,600027115,VN49,,"9,641,000"
2300084088,121091931,4988952-BO GIOANG TREN,ZKE,2/2/2023,2/13/2023,Completed,1,1,600086970,VN49,,"861,000"
2300084088,121091931,4359961-BOM NUOC,ZKE,2/2/2023,2/13/2023,Completed,1,1,600110935,VN49,,"535,000"
2300084088,121091931,3283335-KIM PHUN,ZKE,2/2/2023,2/13/2023,Completed,1,1,600001099,VN49,,"8,401,000"
2300084088,121091931,3806219-PITTONG,ZKE,2/2/2023,2/13/2023,Completed,6,6,600111517,VN49,,"8,043,167"
2300084088,121091931,3904166-XUPPAP XA,ZKE,2/2/2023,2/13/2023,Completed,6,6,600001726,VN49,,"1,624,500"
2300084087,121135795,FS1006-Fulwtrsep,ZKB,2/13/2023,2/13/2023,Completed,4,4,600002731,VNT0,,0
2300084087,121135795,LF3325-Lube filter,ZKB,2/13/2023,2/13/2023,Completed,10,10,600002918,VNT0,,0
2300084087,121135795,LF777-Lube filter,ZKB,2/13/2023,2/13/2023,Completed,4,4,600003076,VNT0,,0
2300084087,121135795,WF2076-Water Filter,ZKB,2/13/2023,2/13/2023,Completed,4,4,600003099,VNT0,,0
2300084087,121135795,880966-Blue7600 15W40API CH-4 18L PL,ZKB,2/13/2023,2/13/2023,Completed,20,20,600085241,VNT0,,0
2300084076,121136452,LF9018-Loc dau,ZTEC,2/13/2023,2/8/2023,Completed,180,180,600003083,VNT0,,"720,000"
2300084076,121136452,WF2076-Loc nuoc,ZTEC,2/13/2023,2/8/2023,Completed,24,24,600003099,VNT0,,"416,000"
2300084076,121136452,LF3000-Loc dau,ZTEC,2/13/2023,2/8/2023,Completed,36,36,600002909,VNT0,,"503,000"
2300084076,121136452,FS1006-Loc nhien lieu,ZTEC,2/13/2023,2/8/2023,Completed,90,90,600002731,VNT0,,"682,000"
2300084076,121136452,FS1000-Loc nhien lieu,ZTEC,2/13/2023,2/8/2023,Completed,36,36,600002729,VNT0,,"320,000"
2300084071,121139165,0511-0224 - BELT-DRIVE,ZTEC,4/3/2023,2/8/2023,Open,1,0,600079294,VN49,,"14,068,000"
2300084070,121133149,0541-0809 - CONTROL KIT (DOM NCM),ZKB,2/22/2023,2/8/2023,Open,1,0,600078932,VN49,,0
2300084066,121133149,300-6315-02 DISPLAY-CONTROL,ZKB,2/21/2023,2/7/2023,Open,1,0,600021033,VN49,,0
2300084063,121112084,"5363431 - MOTOR,STARTING",ZKB,2/7/2023,2/7/2023,Completed,1,1,600080234,VN49,,0
2300084061,121093521,"4903319PX-INJ, CELECT",ZKB,2/6/2023,2/6/2023,Open,3,0,600087111,VNT0,,0
2300084059,121112084,"178079-VALVE, CHECK",ZKB,2/20/2023,2/6/2023,Open,1,0,600027957,VN49,,0
2300084059,121112084,3028325-Valve Check,ZKB,2/20/2023,2/6/2023,Open,1,0,600000697,VN49,,0
2300084059,121112084,"3035346RX-SHUTOFF VLE 24VDC,TWO TERM",ZKB,2/20/2023,2/6/2023,Open,1,0,600111185,VN49,,0
2300084059,121112084,"3071497PX - MX, INJ, STC",ZKB,2/20/2023,2/6/2023,Open,6,0,600016727,VN49,,0
2300084059,121112084,"193736-Seal, injector o ring",ZKB,2/20/2023,2/6/2023,Open,18,18,600000404,VN49,,0
2300084059,121112084,"3033740-VALVE, CHECK",ZKB,2/20/2023,2/6/2023,Open,1,1,600066498,VN49,,0
2300084059,121112084,"3015522-Valve, check",ZKB,2/20/2023,2/6/2023,Open,1,0,600004231,VN49,,0
2300084059,121112084,3013811-Diaphragm,ZKB,2/20/2023,2/6/2023,Open,1,1,600000615,VNT0,,0
2300084058,121064958,WF2076-loc nuoc,ZKE,1/30/2023,2/6/2023,Completed,2,2,600003099,VNT0,,"496,000"
2300084058,121064958,FF202-loc nhien lieu,ZKE,1/30/2023,2/6/2023,Completed,2,2,600002641,VNT0,,"434,000"
2300084058,121064958,LF670-loc nhot dong co,ZKE,1/30/2023,2/6/2023,Completed,5,5,600003055,VNT0,,"293,000"
2300084058,121064958,LF777-loc nhot dong co,ZKE,1/30/2023,2/6/2023,Completed,2,2,600003076,VNT0,,"277,000"
2300084058,121064958,4920076- gioang nap gian co,ZKE,1/30/2023,2/6/2023,Completed,16,16,600020840,VNT0,,"357,000"
2300084058,121064958,AF25278-loc gio,ZKE,1/30/2023,2/6/2023,Completed,2,2,600002393,VNT0,,"2,829,000"
2300084058,121064958,880966-dau dong co 15W40-CH4(18L),ZKE,1/30/2023,2/6/2023,Completed,9,9,600085241,VNT0,,"1,650,000"
2300084056,121112084,"5593524-KIT,FUEL PUMP",ZKB,2/20/2023,2/6/2023,Open,4,0,600113149,VN49,,0
2300084054,121112084,"5593524-KIT,FUEL PUMP",ZKB,2/7/2023,2/6/2023,Completed,1,1,600113149,VNT0,,0
2300084052,121062879,3050692-Ro le de,ZTEC,2/6/2023,2/6/2023,Completed,4,4,600000793,VN49,,"4,211,000"
2300084051,121053868,"3050692-Switch, magnetic",ZKB,2/6/2023,2/6/2023,Completed,1,1,600000793,VN49,,0
2300084044,121134417,A053X260-BO SUOI DAU PHAT,ZTEC,2/3/2023,2/3/2023,Completed,1,1,600104684,VN49,,"8,904,000"
2300084043,121020367,A034X718- CAP,ZTEC,4/2/2023,2/2/2023,Open,1,0,600086311,VN49,,"6,786,000"
2300084042,121041822,4024919-Bo gioang tren,ZTEC,2/2/2023,2/2/2023,Open,1,0,600002092,VN49,,"5,897,000"
2300084040,121112084,"3050692-Switch, magnetic",ZKB,2/2/2023,2/2/2023,Completed,1,1,600000793,VN49,,0
2300084039,121112082,LF3325-Lube filter,ZKB,2/2/2023,2/2/2023,Open,5,0,600002918,VN49,,0
2300084039,121112082,LF777-Lube filter,ZKB,2/2/2023,2/2/2023,Open,2,0,600003076,VN49,,0
2300084039,121112082,FS1006-Fulwtrsep,ZKB,2/2/2023,2/2/2023,Open,2,0,600002731,VN49,,0
2300084039,121112082,WF2076-Water Filter,ZKB,2/2/2023,2/2/2023,Open,2,0,600003099,VN49,,0
2300084039,121112082,880966-Blue7600 15W40API CH-4 18L PL,ZKB,2/2/2023,2/2/2023,Open,11,0,600085241,VN49,,0
2300084039,121112082,DCA65L-Coolant Water,ZKB,2/2/2023,2/2/2023,Open,26,0,600002627,VN49,,0
2300084039,121112082,"4920076- GASKET, ROCKER LEVER",ZKB,2/2/2023,2/2/2023,Open,28,0,600020840,VN49,,0
2300084039,121112082,AF25278-Air filter,ZKB,2/2/2023,2/2/2023,Open,2,0,600002393,VN49,,0
2300084039,121112082,AF25708M- Airfilter,ZKB,2/2/2023,2/2/2023,Open,2,0,600002438,VN49,,0
2300084039,121112082,880966-Blue7600 15W40API CH-4 18L PL,ZKB,2/2/2023,2/2/2023,Open,9,0,600085241,VN49,,0
2300084039,121112082,WF2075-Water filter,ZKB,2/2/2023,2/2/2023,Open,4,0,600003098,VN49,,0
2300084039,121112082,LF670-Lube filter,ZKB,2/2/2023,2/2/2023,Open,4,0,600003055,VN49,,0
2300084038,121112084,0300-6014 - CONTROL ASSY (DYNAM 2 DISPLA,ZKB,2/2/2023,2/2/2023,Open,1,0,600080430,VN49,,0
2300084037,121141055,0327-1601-01 -PCB ASSY (CNTRL,ZKB,2/2/2023,2/2/2023,Completed,1,1,600098152,VN49,,0
2300084037,121141055,327-1507 - PCB ASSY,ZKB,2/3/2023,2/2/2023,Completed,1,1,600009324,VN49,,0
2300084036,121104814,4376430 - Xi lanh,ZTEC,2/2/2023,2/2/2023,Completed,6,6,600096066,VNT0,,"1,663,000"
2300084036,121104814,5405717 - Xec mang,ZTEC,2/3/2023,2/2/2023,Completed,6,6,600096067,VNT0,,"1,386,000"
2300084036,121104814,4299098- Gioang mat may,ZTEC,2/3/2023,2/2/2023,Completed,1,1,600074392,VNT0,,"3,742,000"
2300084036,121104814,4955383 -Phot dau truc,ZTEC,2/3/2023,2/2/2023,Completed,1,1,600014200,VNT0,,"970,000"
2300084036,121104814,4965569-Phot duoi truc,ZTEC,2/2/2023,2/2/2023,Completed,1,1,600004440,VNT0,,"970,000"
2300084036,121104814,5658176-Gioang cam voi phun,ZTEC,2/2/2023,2/2/2023,Completed,1,1,600112536,VNT0,,"191,000"
2300084036,121104814,4299124-Gioang cam voi phun,ZTEC,2/3/2023,2/2/2023,Completed,1,1,600086443,VNT0,,"156,000"
2300084036,121104814,5719778-Gioang cam xup pap,ZTEC,2/2/2023,2/2/2023,Completed,1,1,600112721,VNT0,,"121,000"
2300084036,121104814,4299125-Gioang cam xup pap,ZTEC,2/2/2023,2/2/2023,Completed,1,1,600086442,VNT0,,"156,000"
2300084036,121104814,4356366 - Phot ghit xup pap,ZTEC,2/2/2023,2/2/2023,Completed,24,24,600079280,VNT0,,"59,000"
2300084036,121104814,5473000-Xi lanh,ZTEC,2/3/2023,2/2/2023,Completed,6,6,600111896,VNT0,1463682,"1,871,000"
2300084036,121104814,4089405 - Bac bien cos0,ZTEC,2/3/2023,2/2/2023,Completed,6,6,600002154,VNT0,,"381,000"
2300084036,121104814,5406110 - Bac truc cos0,ZTEC,2/3/2023,2/2/2023,Completed,1,1,600092681,VNT0,,"3,292,000"
2300084036,121104814,4298629-Truc cam xup pap (1 Cam),ZTEC,2/2/2023,2/2/2023,Completed,2,2,600111895,VNT0,,"13,860,000"
2300084036,121104814,4298626-Truc cam xup pap (2 Cam),ZTEC,2/2/2023,2/2/2023,Completed,2,2,600066174,VNT0,,"13,860,000"
2300084035,121158498,4298629-truc cam (1 cam),ZTEC,2/2/2023,2/2/2023,Completed,3,3,600111895,VNT0,,"13,860,000"
2300084033,121139165,888422-NHOT CUMMINS 20W50 CI-4/SL 18L,ZTEC,2/1/2023,2/1/2023,Completed,10,10,600095486,VN49,,"1,336,364"
2300084032,121158244,5406110 - Bac truc cos0,ZTEC,2/2/2023,2/1/2023,Completed,2,2,600092681,VNT0,,"3,135,000"
2300084032,121158244,4089405 - Bac bien cos0,ZTEC,2/2/2023,2/1/2023,Completed,12,12,600002154,VNT0,,"363,000"
2300084032,121158244,4376430 - Xi lanh,ZTEC,2/2/2023,2/1/2023,Completed,12,12,600096066,VNT0,,"1,584,000"
2300084032,121158244,5405717 - Xec mang,ZTEC,2/2/2023,2/1/2023,Completed,12,12,600096067,VNT0,,"1,320,000"
